ref;day;month;year;lat;long
145243;20;5;2017;47.28135;3.352175
145340;20;5;2017;48.822537;1.316772
145414;20;5;2017;47.447746;1.010775
145418;20;5;2017;45.71313;3.1014392
145841;20;5;2017;42.789131;0.592732
146091;20;5;2017;48.906853;2.248183
146791;20;5;2017;49.23184;0.3743039
148301;20;5;2017;48.19153;3.844094
145269;21;5;2017;48.971024;4.371864
145469;21;5;2017;47.331867;5.7767887
145773;21;5;2017;47.119026;-1.1254653
146537;21;5;2017;49.06905;6.0599647
146893;21;5;2017;49.030296;0.55773854
145155;22;5;2017;43.504879;2.387509
145932;22;5;2017;47.806508;-3.624785
146020;22;5;2017;47.371807;0.9615183
146296;22;5;2017;47.798054;1.7153189
147258;22;5;2017;48.72056;2.1185746
148333;22;5;2017;47.86267;-3.4638982
151633;22;5;2017;42.9959;0.52312964
146636;23;5;2017;47.421963;1.433886
146960;23;5;2017;45.22684594;1.52370071
147128;23;5;2017;47.358826;-1.3721802
148030;23;5;2017;45.935906;4.829573
148031;23;5;2017;45.935811;4.828953
145997;24;5;2017;48.764005;1.877231
147162;24;5;2017;43.55356;1.3665271
145008;25;5;2017;48.699852;7.8823614
145009;25;5;2017;48.700306;7.882522
145117;25;5;2017;46.816221;3.447739
145180;25;5;2017;47.235794;5.965473
145189;25;5;2017;48.203968;-4.5292225
145192;25;5;2017;48.203747;-4.528822
145265;25;5;2017;49.443994;1.114362
145470;25;5;2017;48.063435;4.4991345
145561;25;5;2017;45.247395;1.1378375
145620;25;5;2017;47.142696;5.975647
145850;25;5;2017;48.11198;-1.9550964
145852;25;5;2017;48.11201;-1.9550699
145854;25;5;2017;48.111916;-1.9551299
145963;25;5;2017;48.83849;1.6965505
146439;25;5;2017;46.56542;5.704341
146484;25;5;2017;45.445354;4.265938
146534;25;5;2017;49.075455;6.073003
148409;25;5;2017;48.699867;7.3664784
148484;25;5;2017;44.74624;-0.4290857
149093;25;5;2017;49.462383;2.0243447
151066;25;5;2017;46.639343;0.92178404
152407;25;5;2017;45.687138;1.3736082
144984;26;5;2017;45.88977;4.435366
145072;26;5;2017;47.50598;1.372011
145419;26;5;2017;43.356707;1.613959
145483;26;5;2017;46.209671;4.087737
145633;26;5;2017;45.32553;6.2215257
145669;26;5;2017;49.452884;6.34252
146465;26;5;2017;48.488075;-1.8570518
146729;26;5;2017;48.625525;7.504109
146730;26;5;2017;48.629098;7.506935
146731;26;5;2017;48.622111;7.501311
146749;26;5;2017;48.220757;7.303818
146965;26;5;2017;45.87582532;3.04168081
147108;26;5;2017;47.731415;7.348334
147195;26;5;2017;48.259274;-3.8927834
147350;26;5;2017;43.507865;-1.438558
147536;26;5;2017;44.091854;4.9690404
147627;26;5;2017;45.914234;4.3102593
